nombre,area,condado,sector,naics2,forma_legal,estado_web,redes_sociales,evidencia,fuente_url
Medley Steel and Supply Inc,Medley,Miami-Dade,Distribución de acero,42,Inc,Tiene web,LinkedIn,"Desde 1978, exporta Caribe/LatAm",https://www.yellowpages.com/medley-fl/medley-steel-and-supply-inc
Amigo Pallets Inc,Medley,Miami-Dade,Fabricación/reciclaje de paletas,32,Inc,Tiene web,Facebook; Instagram,"Est. 2010; IG 172 seguidores",https://www.facebook.com/amigopallets/
Medley Machine Shop Inc,Medley,Miami-Dade,Taller mecánico industrial,33,Inc,Tiene web,Ninguna encontrada,"Fundada 1994; dominio sin confirmar",https://www.dnb.com/business-directory/company-profiles.medley_machine_shop_inc.b0232bd608d5d99948dd3a3504105627.html
Pablo's Machine Shop & Welding Corp,Medley,Miami-Dade,Maquinado/soldadura industrial,81,Corp,Presencia desordenada,Yelp,"Incorporada 2012; dos dominios distintos",https://www.yelp.com/biz/pablos-machine-shop-and-welding-corp-medley
Gondia Machine Shop,Medley,Miami-Dade,Taller mecánico industrial,33,No verificado,No verificado,Ninguna encontrada,Solo Manta,https://www.manta.com/c/mm4dqwp/gondia-machine-shop
Super Diesel Truck Repair Inc,Medley,Miami-Dade,Reparación camiones diésel,81,Inc,Tiene web,Yelp; Birdeye,3.5 estrellas / 13 reseñas,https://www.manta.com/c/mhcrbf8/super-diesel-truck-repair-inc
LaRosa Diesel Mechanical,Medley,Miami-Dade,Reparación camiones diésel,81,No verificado,No verificado,Yelp,Solo Yelp,https://www.yelp.com/biz/larosa-diesel-mechanical-medley
CYMA Truck Repair,Medley,Miami-Dade,Reparación camiones diésel,81,No verificado,No verificado,Yelp,Solo Yelp,https://www.yelp.com/biz/cyma-truck-repair-medley
International Cruise Food & Hotel Suppliers Inc,Medley,Miami-Dade,Distribución alimentaria a cruceros,42,Inc,Tiene web,Nextdoor; Indeed,"Inc. 1998, almacén 200,000 ft²",https://www.manta.com/c/mm21vw1/international-cruise-food-hotel-suppliers-inc
Allsteel & Gypsum Products Inc,Medley,Miami-Dade,Distribución materiales de construcción,42,Inc,Web posiblemente desactualizada,Ninguna encontrada,"URL /index.html: sitio estático antiguo (no confirmado)",https://www.allsteelproducts.com/index.html
Structural Prestressed Industries Inc,Medley,Miami-Dade,Prefabricados de concreto,32,Inc,No verificado,Ninguna encontrada,"Est. 1996, gran prefabricadora",https://buildingrenewable.com/12-best-precast-concrete-construction-companies-in-florida/
Doral Freight Logistics Inc,Doral,Miami-Dade,Logística - transporte,48,Inc,Tiene web,Ninguna encontrada,"Est. 1999, ~50 empleados, ~$9.4M",https://www.manta.com/c/mm33hkb/doral-freight-logistics-inc
Senaduana Freight Forwarders Inc,Doral,Miami-Dade,Logística - freight forwarding,48,Inc,Tiene web,Facebook; LinkedIn; Yelp,Est. 2004,https://www.manta.com/c/mmgmgjl/senaduana-freight-forwarders-inc
Conavenca Freight Forwarder LLC,Doral,Miami-Dade,Logística - freight forwarding,48,LLC,No verificado,Ninguna encontrada,Solo Manta,https://www.manta.com/c/mhks6tw/conavenca-freight-forwarder-llc
TMC Import & Export Co,Doral,Miami-Dade,Import/export (embalaje y equipos),42,LLC (según YP),Tiene web,Ninguna encontrada,"Est. 1981, ~11 empleados, ~$2.4M",https://www.manta.com/c/mbg66v7/tmc-import-export-co
Barahona's Food Distributor LLC,Doral,Miami-Dade,Distribución de alimentos,42,LLC,No verificado,Ninguna encontrada,Solo Bizapedia,https://www.bizapedia.com/fl/barahonas-food-distributor-llc.html
Loman Distributors Inc,Doral,Miami-Dade,Distribución mayorista,42,Inc,No verificado,Ninguna encontrada,Solo Bizapedia,https://www.bizapedia.com/fl/loman-distributors-inc.html
K & K Dental Associates,Doral,Miami-Dade,Clínica dental,62,No verificado,No verificado,Facebook,Solo Facebook,https://www.facebook.com/kkdentaldoral/
Doral Family Dental,Doral,Miami-Dade,Clínica dental,62,No verificado,No verificado,Facebook,Solo Facebook,https://www.facebook.com/doralfamilydentalfl/
Brothers Produce Inc,Allapattah (Miami),Miami-Dade,Mayorista frutas y verduras,42,Inc,Tiene web,Yelp; BBB,"Fundada 1990; sin Facebook propio",https://www.bbb.org/us/fl/miami/profile/organic-food/brothers-produce-inc-0633-90067698
4 U Unlimited,Allapattah (Miami),Miami-Dade,Distribución mayorista,42,No verificado,No verificado,Yelp,Solo Yelp,https://www.yelp.com/biz/4-u-unlimited-miami
Excellent Fruit & Produce Inc,Allapattah (Miami),Miami-Dade,Mayorista frutas y verduras,42,Inc,Tiene web,Ninguna encontrada,Almacén refrigerado y flota propia,https://excellentfruitandproduce.com/about-us/
Martinez Distributors Inc,Allapattah (Miami),Miami-Dade,Mayorista carnes y mariscos,42,Inc,Tiene web,Facebook; Yelp,"Desde 1997, 3 tiendas, planta USDA",https://www.yelp.com/biz/martinez-distributors-miami-2
El Rey de las Fritas,Little Havana (Miami),Miami-Dade,Restaurante,72,No verificado,Tiene web,Facebook,Cadena local desde 1982,https://www.facebook.com/reydelasfritas/
El Exquisito Restaurant,Little Havana (Miami),Miami-Dade,Restaurante,72,No verificado,No verificado,Ninguna encontrada,Familia Coro desde 1974 en Calle Ocho,https://www.neighborhoods.com/blog/cuban-restaurants-in-little-havana-you-cant-miss
Kendale Air Conditioning Inc,Kendall,Miami-Dade,HVAC,23,Inc,Tiene web,Facebook; LinkedIn; Yelp,Desde 1988; BBB 2014,https://www.bbb.org/us/fl/miami/profile/heating-and-air-conditioning/kendale-air-conditioning-0633-23009691
Kendall South Medical Center Inc,Kendall,Miami-Dade,Clínica médica,62,Inc,No verificado,Ninguna encontrada,Solo directorio WebMD,https://doctor.webmd.com/practice/kendall-south-medical-center-inc-422a0a48-1a37-46b1-973c-95ba062d11e3
Kendall Medical Center Inc,Kendall,Miami-Dade,Clínica médica,62,Inc,No verificado,Ninguna encontrada,Solo directorio WebMD,https://doctor.webmd.com/practice/kendall-medical-center-inc-773643c8-4703-e211-a42b-001f29e3eb44-physicians/alpha/all
Krome Auto and Tire Inc,Homestead,Miami-Dade,Automotriz - taller/llantas,81,Inc,Tiene web,BBB; Yelp; Birdeye,Fundada 1992; 38 reseñas,https://www.bbb.org/us/fl/homestead/profile/auto-repair/krome-auto-tire-svc-0633-90269976
R Plants Inc,Homestead,Miami-Dade,Vivero mayorista,11,Inc,Tiene web,Facebook; Instagram,"Est. 1997, 180+ acres",https://www.facebook.com/rplantsinc/
Liner Growers Nursery,Homestead,Miami-Dade,Vivero mayorista,11,No verificado,No verificado,Ninguna encontrada,Solo Manta; 10+ años,https://www.manta.com/c/mvvd9cj/liner-growers-nursery
Manuel Diaz Farms Inc,Homestead,Miami-Dade,Vivero mayorista,11,Inc,No verificado,Ninguna encontrada,Categoría Wholesale Nurseries Manta,https://www.manta.com/mb_55_B80C105M_345/nursery_stock/homestead_fl
Quality Growers Inc,Homestead,Miami-Dade,Vivero mayorista,11,Inc,No verificado,Ninguna encontrada,Categoría Wholesale Nurseries Manta,https://www.manta.com/mb_55_B80C105M_345/nursery_stock/homestead_fl
Medallion Nurseries,Homestead,Miami-Dade,Vivero mayorista,11,No verificado,No verificado,Ninguna encontrada,Categoría Wholesale Nurseries Manta,https://www.manta.com/mb_55_B80C105M_345/nursery_stock/homestead_fl
Sam S. Accursio & Sons Farms,Homestead,Miami-Dade,Agricultura/empacadora,11,No verificado,No verificado,Ninguna encontrada,"Desde 1948, empacadora propia",https://ediblesouthflorida.ediblecommunities.com/eat/fresh-demand-local-produce-longtime-homestead-farm/
Sudsies Dry Cleaners,Miami Beach,Miami-Dade,Tintorería,81,No verificado,No verificado,Yelp,"Est. 1996; 244 reseñas Yelp",https://www.yelp.com/biz/sudsies-dry-cleaners-miami-beach
